Id,Movie Name,Release Date,Watch Date,Theater,Distributed by,Comment
76,Project Hail Mary,2026-03-20,2026-04-28,Regal,"Amazon MGM Studios, Sony Pictures Releasing International","I went to see this movie because so many friends and colleagues recommended it. Even more than a month after its release, on a Tuesday night, the theater was still quite full—clearly a sign of a successful film.
It’s a great story with beautiful visuals. I really loved Dr. Grace, and Rocky completely stole the show. I also couldn’t help but appreciate all of Ryan Gosling’s outfits throughout the film. Overall, it’s a visually stunning and emotionally warm movie that left a strong impression on me."
75,Song Sung Blue,2025-12-25,2026-04-18,Delta Airplane,"Focus Features, Universal Pictures","It was a beautiful and touching story. I didn’t expect the main character, Mike, to die, which made it even more emotional. I cried when Claire was singing at his funeral, and I felt really anxious watching her stand in front of the house where the two accidents had happened. The ending was heartbreaking, and the movie finished right as my flight landed in LA. That timing actually made me feel physically uncomfortable—my stomach even started to hurt. I guess I’ve learned my lesson: no sad movies on flights."
74,Love Story,1970-12-16,2026-02-06,Home(Pluto TV),Paramount Pictures,"I heard about this movie on the show The Offer and have always wanted to see it. A friend I met today confirmed that it is a great movie. So I watched it tonight. It is a beautiful love story. You can feel love flowing throughout the movie. Great story, great music, great pictures, great acting, and great lines. "
73,"Paul, Apostle of Christ",2018-03-23,2026-02-04,Friends get-together,Sony Pictures Releasing,"It was great. I like the story, the picture, and how Paul and Luke walk together. "
72,The English Patient,1996-11-15,2026-01-25,Home(P+),Miramax Films,"This movie makes me nervous, but never in tears. The sad parts were presented with grace and dignity. I like the way they tell the stories. But the story wasn't very intriguing to me. I may have different understandings in the future with more life experience. A funny thing was that I watched The Little Prince earlier that day, and it also features a plane and an aviator in the desert. What a coincidence! "
71,The Little Prince,2015-07-29,2026-01-25,Home(P+),Paramount Pictures,"A beautiful, warm, and sad story. It makes the audience reflect. We often commercialize ourselves after we grow up and forget to enjoy all the colors of our lives. The Little Prince is a well-known story. I read the book more than ten years ago and never knew there was a movie until yesterday, when I saw it on P+. So I decided to watch it right away. I am happy that the elderly retired aviator and the little girl's mom support her so well with love, patience, and understanding. "
70,Indiana Jones and the Raiders of the Lost Ark,1981-06-12,2026-01-24,Home(P+),Paramount Pictures,"I started watching it two weeks ago and finished the first half. Today, I finished the second half. I decided to watch it because I was wondering where the ark is now. A friend said I needed to watch Indiana Jones, lol. I've heard of this name for a long time, and it is a Paramount movie, so why not watch it? It could be a little scary, but it is a warm and fun story. Dr. Jones is handsome, funny, brave, smart, and kind. "
69,Avatar: Fire and Ash,2025-12-19,2026-01-11,Regal,20th Century Studios,"I went to the theater to watch Avatar: The Way of Water, but slept for at least two hours. I never understood the story. However, I still decided to watch the new Avatar film because it is successful and one of my friends strongly recommended it. After the first 25 minutes, I wanted to fall asleep again, but I tried my best to stay awake. Then, I got to understand the story and began to enjoy it. The story was fine. But the pictures were very beautiful. "
68,David,2025-12-19,2026-01-10,Regal,Angel,"Since I have been studying the story of David every week for several months, I thought I needed to watch this movie. It was for children, so the plots are simple. But the music and the pictures are both satisfying for me. I enjoyed it.  "
67,Pulp Fiction,1994-05-21,2025-12-30,Home(P+),Paramount Pictures,"This movie is different. You would expect something might happen, but it won't. I couldn't appreciate until I watched some YouTube videos with detailed explanations of what happended in the movie and how the story was created. It was a great!"
